Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
MT-ND1	CAB033779	
MT-ND1	33779	
MT-ND2		
MT-CO1	CAB016241	
MT-CO1	HPA069328	
MT-CO1	16241	
MT-CO1	69328	
MT-CO2	CAB016243	
MT-CO2	HPA051505	
MT-CO2	HPA054758	
MT-CO2	16243	
MT-CO2	51505	
MT-CO2	54758	
MT-ATP8		
MT-ATP6		
MT-CO3	HPA042788	
MT-CO3	42788	
MT-ND3	HPA063296	
MT-ND3	63296	
MT-ND4L	HPA075648	
MT-ND4L	75648	
MT-ND4	HPA053928	
MT-ND4	53928	
MT-ND5		
MT-ND6		
MT-CYB	CAB032215	
MT-CYB	HPA068400	
MT-CYB	32215	
MT-CYB	68400	
CDKN1C		
KLF13		
MPV17L	HPA041180	
CDKN1C		
KLF13		
MPV17L	HPA041180	
CDKN1C		
KLF13		
CDKN1C		
MPV17L		
SMIM34B		
SMIM34B		
SMIM34B	HPA029085	
SMIM34B	29085	
KCNE1B		
CNOT3		
CNOT3		
KCNE1B		
KCNE1B		
KCNE1B		
CNOT3	HPA006408	
CNOT3	HPA006408	
CNOT3		
LENG1	HPA043541	
MARF1	HPA017992	
MARF1		
MARF1	HPA017992	
MARF1	HPA017992	
MARF1		
MARF1		
DNAJA3	CAB016095	
DNAJA3	HPA040875	
DNAJA3	HPA044229	
CHGA	CAB000023	
CHGA	CAB040544	
CHGA	CAB055506	
CHGA	CAB058688	
CHGA	HPA017369	
CHGA		
DNAJA3	CAB016095	
DNAJA3	HPA040875	
DNAJA3	HPA044229	
PDK3	HPA046583	
PDK3	HPA072492	
PDK3	46583	
MARF1		
DNAJA3		
CHGA		
PDK3	HPA046583	
PDK3	HPA072492	
TTYH1	HPA023617	
TTYH1	HPA050655	
DNAJA3		
TTYH1	HPA023617	
TTYH1	HPA050655	
TTYH1	HPA023617	
TTYH1	HPA050655	
TTYH1		
DNAJA3		
PDK3	HPA046583	
PDK3	HPA072492	
DNAJA3		
BMERB1	HPA041114	
BMERB1		
PAXBP1	HPA003757	
BMERB1		
BMERB1	HPA041114	
BMERB1		
PAXBP1	HPA003757	
BMERB1		
TTYH1	HPA023617	
TTYH1	HPA050655	
BMERB1		
AC243733.1		
AC243733.1		
AC243733.1		
OR2AG2		
OR2AG2		
CDH9	HPA007167	
CDH9	7167	
OR2AG2		
CDH9		
CDH9		
OR2AG1		
OR2AG1		
PRAME	HPA045153	
TMC4		
PRAME	HPA045153	
PRAME	HPA045153	
TMC4		
PRAME		
PRAME		
PRAME		
TMEM106B	HPA058342	
TMEM106B	58342	
PRAME		
TMEM106B		
TMEM106B	58342	
PRAME		
TMEM106B	HPA058342	
TMEM106B	58342	
TMEM106B		
PRAME	HPA045153	
FP565260.4		
DNAJC27	HPA036815	
DNAJC27	HPA036816	
DNAJC27	36815	
DNAJC27	36816	
GOLGA6L22	HPA047733	
GOLGA6L22	47733	
GOLGA6L22	47733	
DNAJC27	HPA036815	
DNAJC27	HPA036816	
OTUD7A	HPA044554	
OTUD7A	44554	
OTUD7A		
OTUD7A		
DNAJC27	HPA036815	
DNAJC27	HPA036816	
DNAJC27	36815	
IAH1		
ARMC10		
IAH1	HPA040523	
ARMC10		
C21orf62		
ARMC10		
C21orf62		
C21orf62		
ARMC10		
C21orf62		
ARMC10		
OR11A1		
ARMC10		
OR11A1		
ARMC10		
OR11A1		
GABRA5	CAB079022	
GABRA5	HPA077031	
GABRA5	77031	
GABRA5	79022	
GABRA5	CAB079022	
GABRA5	HPA077031	
GABRA5	77031	
GABRA5	79022	
TRIM26	HPA044975	
TRIM26	HPA050456	
TRIM26	44975	
TRIM26	50456	
GABRA5	79022	
OR10C1	HPA049336	
OR10C1		
GABRA5	77031	
GABRA5	79022	
GABRA5	77031	
GABRA5	79022	
GABRA5	79022	
GABRA5	77031	
GABRA5	79022	
OR5V1	HPA046707	
OR5V1	HPA046707	
OR5V1	HPA046707	
GABRA5	79022	
GABRA5	CAB079022	
GABRA5	HPA077031	
GABRA5	77031	
GABRA5	79022	
TRIM26	HPA044975	
TRIM26	HPA050456	
TRIM26	44975	
TRIM26	50456	
TRIM26	HPA044975	
TRIM26	HPA050456	
TRIM26	44975	
TRIM26	50456	
