Gene name	NCBI gene ID	UniProtKB Gene Name ID	UniProtKB Gene Name symbol
MT-TF			
MT-RNR1			
MT-TV			
MT-RNR2			
MT-TL1			
MT-ND1	4535	P03886	MT-ND1
MT-ND1	4535	U5Z754	ND1
MT-TI			
MT-TQ			
MT-TM			
MT-ND2	4536	P03891	MT-ND2
MT-ND2	4536	Q7GXY9	ND2
MT-TW			
MT-TA			
MT-TN			
MT-TC			
MT-TY			
MT-CO1	4512	P00395	MT-CO1
MT-CO1	4512	U5YWV7	COX1
MT-TS1	113219467		
MT-TD			
MT-CO2	4513	P00403	MT-CO2
MT-CO2	4513	U5Z487	COX2
MT-TK			
MT-ATP8	4509	P03928	MT-ATP8
MT-ATP8	4509	U5YV54	ATP8
MT-ATP6	4508	P00846	MT-ATP6
MT-ATP6	4508	Q0ZFE3	ATP6
MT-CO3	4514	P00414	MT-CO3
MT-CO3	4514	Q7GIM7	COX3
MT-TG			
MT-ND3	4537	P03897	MT-ND3
MT-ND3	4537	Q7GXZ5	ND3
MT-TR			
MT-ND4L	4539	P03901	MT-ND4L
MT-ND4L	4539	Q7GXZ4	ND4L
MT-ND4	4538	P03905	MT-ND4
MT-ND4	4538	H9EC08	ND4
MT-TH			
MT-TS2			
MT-TL2			
MT-ND5	4540	P03915	MT-ND5
MT-ND5	4540	U5ZC31	ND5
MT-ND6	4541	P03923	MT-ND6
MT-ND6	4541	U5Z977	ND6
MT-TE			
MT-CYB	4519	P00156	MT-CYB
MT-CYB	4519	Q0ZFD6	CYB
MT-TT			
MT-TP			
LINC02833			
CDKN1C	1028	P49918	CDKN1C
CDKN1C	1028	A0A0G2JPX0	CDKN1C
CDKN1C	1028	A6NK88	CDKN1C
CDKN1C	1028	A0A0G2JH30	CDKN1C
CDKN1C	1028	A0A2R8YFP9	CDKN1C
KLF13	51621	Q9Y2Y9	KLF13
KLF13	51621	X5DNR2	KLF13
KLF13	51621	H0YK05	KLF13
MPV17L	255027	Q2QL34	MPV17L
MPV17L	255027	H3BT45	MPV17L
LINC02287			
UBE2CP4			
AC025475.1			
MARF1	9665	Q9Y4F3	MARF1
MARF1	9665	G8JLP4	MARF1
MARF1	9665	F8VRS5	MARF1
MARF1	9665	F8VVB8	MARF1
CNOT3	4849	O75175	CNOT3
CNOT3	4849	B7Z6J7	CNOT3
CNOT3	4849	A0A2H2FJL5	CNOT3
CNOT3	4849	A0A024R4R3	CNOT3
CNOT3	4849	H7C5J4	CNOT3
CNOT3	4849	A0A0G2JN65	CNOT3
CNOT3	4849	A0A0G2JPP0	CNOT3
CNOT3	4849	H7C148	CNOT3
CNOT3	4849	H7C3F5	CNOT3
CNOT3	4849	A0A2R8Y7Z8	CNOT3
SMIM34B		P0DPE8	SMIM34B
AC025475.2			
AC113347.2			
KCNE1B	102723475	A0A087WTH5	KCNE1B
KCNE1B	102723475	A0A087WWU3	KCNE1B
KCNE1B	102723475	A0A087WU88	KCNE1B
AC113347.1			
AC104759.1			
AC113347.3			
CCNB3P1			
AC113347.4			
AC012676.7			
DNAJA3	9093	Q96EY1	DNAJA3
DNAJA3	9093	Q53G26	DNAJA3
DNAJA3	9093	I3L1T6	DNAJA3
DNAJA3	9093	I3L3D3	DNAJA3
DNAJA3	9093	I3L1I6	DNAJA3
DNAJA3	9093	I3L1T9	DNAJA3
CU467002.1			
LENG1	79165	Q96BZ8	LENG1
TTYH1	57348	Q9H313	TTYH1
TTYH1	57348	E7ET67	TTYH1
TTYH1	57348	A0A0G2JNF5	TTYH1
TTYH1	57348	A0A0G2JNU8	TTYH1
TTYH1	57348	A0A0G2JPK6	TTYH1
TTYH1	57348	C9J3K6	TTYH1
TTYH1	57348	F8WBE6	TTYH1
SNRPEP9			
CHGA	1113	P10645	CHGA
CHGA	1113	G5E968	CHGA
CHGA	1113	G3V2Q7	CHGA
PDK3	5165	Q15120	PDK3
AC243742.2			
BMERB1	89927	Q96MC5	BMERB1
BMERB1	89927	H3BUY6	BMERB1
BMERB1	89927	A0A024QZI8	C16orf45
BMERB1	89927	H3BP34	BMERB1
BMERB1	89927	H3BU79	BMERB1
BMERB1	89927	H3BTT5	BMERB1
AP000705.5			
AP000705.6			
AP000705.3			
AP000705.4			
PAXBP1	94104	Q9Y5B6	PAXBP1
PAXBP1	94104	H7BZC8	PAXBP1
PAXBP1	94104	H7C2W4	PAXBP1
FAM86GP			
AC012676.6			
AC012676.8			
AC100757.3			
CDH9	1007	Q9ULB4	CDH9
CDH9	1007	D6RBT9	CDH9
CDH9	1007	E7EPN0	CDH9
AC243733.1	255027	H3BMD7	MPV17L
AC127526.1			
AP006294.2			
TMC4	147798	Q7Z404	TMC4
TMC4	147798	A0A087WXY6	TMC4
TMC4	147798	A0A0G2JMP8	TMC4
