Official	LFC	FDR
NegativeControl	-7.7179	0.002475
BCL3	-8.5907	0.002475
RP11-770J1.5	-8.9428	0.008251
AP002348.1	-9.0866	0.050743
TRBJ2-5	-9.014	0.052475
PTEN	-8.5812	0.081683
AC062017.1	-8.5465	0.081683
ZMYM1	-7.9381	0.081683
AC020952.1	-8.9429	0.081683
C7orf34	-8.8903	0.081683
MAPK8IP3	-8.698	0.081683
CACNG7	-8.103	0.081683
AP001816.1	-8.7675	0.081683
CDH23	-8.977	0.081683
DCAF12L2	-8.6694	0.089384
SHARPIN	-8.0998	0.089384
GATA6	-8.7772	0.089384
RP11-5A19.5	-8.9939	0.089384
AL390778.1	-8.353	0.117687
OR10G4	-8.4329	0.117687
CCDC89	-8.8539	0.117687
CALCRL	-8.8373	0.117687
MALRD1	-8.5055	0.123547
ADRB3	-8.554	0.145941
EMCN	-8.739	0.145941
LRRC38	-8.7174	0.169004
KCNC1	-7.1167	0.169004
ULK1	-8.0739	0.169004
DAPK3	-8.3062	0.169004
DSCAML1	-8.3931	0.169004
PIK3AP1	-8.1047	0.169004
AL022328.1	-8.7925	0.169004
MAP3K15	-8.275	0.169004
YPEL3	-7.9528	0.169004
RP11-429E11.3	-8.5252	0.169004
HTR3A	-8.392	0.169004
KANK4	-8.1754	0.169521
SLC5A8	-8.4068	0.179332
FAM111B	-8.4941	0.179332
SPRY3	-8.9583	0.182079
KEAP1	-8.375	0.182079
ATXN7L3	-8.6242	0.182079
RP1	-9.0783	0.179332
ROCK1	-8.1539	0.182079
CTD-3088G3.8	-8.3667	0.182079
ISLR2	-8.7122	0.182079
KIAA1522	-8.6731	0.182079
TBC1D21	-8.4137	0.182079
FAM189A1	-7.9965	0.182079
SLC15A3	-8.6999	0.193652
PPP4R1L	-8.4074	0.182079
KRTAP19-7	-8.8052	0.195449
TMEM105	-7.6216	0.201233
FAT4	-8.1356	0.201233
FN3K	-8.7691	0.201233
AC010646.3	-8.9621	0.201233
PTPN3	-8.385	0.201545
RP11-520P18.5	-8.6224	0.201545
FGFR1	-7.3131	0.201545
NRGN	-8.633	0.201545
PHKA2	-8.0488	0.201545
KRT80	-8.4661	0.201545
C8orf46	-8.0057	0.201545
MROH1	-8.1471	0.201545
TST	-8.7036	0.201545
RP11-156E8.1	-8.0367	0.206221
CTD-3148I10.9	-6.9326	0.215776
SH3BP1	-8.3258	0.215776
C2CD2	-8.1052	0.215776
DLC1	-8.5381	0.215776
TMEM47	-8.3827	0.215776
PLBD2	-8.3721	0.215776
ARIH2	-8.807	0.215776
AC131971.1	-8.7203	0.218015
SLC7A3	-8.2013	0.219535
YIF1B	-8.3413	0.22404
ASTN2	-8.7487	0.22404
UBBP4	-8.7417	0.22404
ACRV1	-8.3361	0.22404
B3GNTL1	-7.9648	0.218015
AC026461.1	-8.9694	0.200542
LFNG	-8.443	0.240523
ZRSR1	-7.7145	0.240523
C8orf12	-8.7503	0.240523
SLC35F1	-8.3477	0.240523
FGF4	-8.7901	0.240523
SLC25A20	-8.1202	0.240523
C1QL4	-8.2132	0.240523
PDPN	-8.3167	0.240523
CCNF	-8.5349	0.240523
TACC1	-8.4885	0.240523
SOCS1	-8.5146	0.240523
TRBJ2-6	-8.9657	0.240523
RPL3L	-8.3947	0.240523
ADRA1A	-8.8875	0.240523
PCSK1N	-8.1324	0.240523
ISLR	-8.764	0.240523
KRTAP19-2	-7.6578	0.240523
NECAB1	-8.3155	0.240523
XCR1	-8.5937	0.240523
LELP1	-8.2976	0.240523
CIC	-8.2799	0.240523
ATHL1	-8.1491	0.240523
MAPK11	-8.7588	0.240523
AL360181.1	-8.7088	0.240523
FAM84A	-8.4876	0.240523
C1orf213	-8.6338	0.240523
NTRK3	-8.73	0.240523
DDX39A	-8.0983	0.244414
ZEB1	-8.4376	0.244414
