Gene name	NCBI gene ID	UniProtKB Gene Name ID	UniProtKB Gene Name symbol
mt-Tf			
mt-Rnr1			
mt-Tv			
mt-Rnr2			
mt-Tl1			
mt-Nd1	17716	P03888	Mtnd1
mt-Nd1	17716	Q4JFN6	mt-Nd1
mt-Ti			
mt-Tq			
mt-Tm			
mt-Nd2	17717	P03893	Mtnd2
mt-Nd2	17717	Q9MD59	mt-Nd2
mt-Tw			
mt-Ta			
mt-Tn			
mt-Tc			
mt-Ty			
mt-Co1	17708	P00397	Mtco1
mt-Co1	17708	Q9MD68	mt-Co1
mt-Ts1			
mt-Td			
mt-Co2	17709	P00405	Mtco2
mt-Co2	17709	Q7JCZ1	mt-Co2
mt-Tk			
mt-Atp8	17706	P03930	Mtatp8
mt-Atp8	17706	Q7JCZ0	mt-Atp8
mt-Atp6	17705	P00848	Mtatp6
mt-Atp6	17705	Q7JCY9	mt-Atp6
mt-Co3	17710	P00416	mt-Co3
mt-Co3	17710	Q7JCX7	mt-Co3
mt-Tg			
mt-Nd3	17718	P03899	Mtnd3
mt-Nd3	17718	Q7GIP5	mt-Nd3
mt-Tr			
mt-Nd4l	17720	P03903	Mtnd4l
mt-Nd4l	17720	Q9MD77	mt-Nd4l
mt-Nd4	17719	P03911	Mtnd4
mt-Nd4	17719	Q7JCY6	mt-Nd4
mt-Th			
mt-Ts2			
mt-Tl2			
mt-Nd5	17721	P03921	Mtnd5
mt-Nd5	17721	Q9MD82	mt-Nd5
mt-Nd6	17722	P03925	Mtnd6
mt-Nd6	17722	Q7JCY4	mt-Nd6
mt-Te			
mt-Cytb	17711	P00158	Mt-Cyb
mt-Cytb	17711	Q7JCZ3	mt-Cytb
mt-Tt			
mt-Tp			
Vmn1r-ps5			
Gm50208			
Gm29554		A0A087WNW4	Gm29554
Gm49140			
Gm28632			
Gm21916			
Ranbp2-ps6			
Gm29565			
Dmrt2	226049	Q8BG36	Dmrt2
Gm10305			
Gpr160	71862	Q3U3F9	Gpr160
Asprv1	67855	Q09PK2	Asprv1
Gm14753			
Gm11221			
Vmn2r-ps9			
Gm44598			
4921527H02Rik			
Gm8019			
Gm18782			
Gm11553			
Txndc17	52700	Q9CQM5	Txndc17
Dctpp1	66422	Q9QY93	Dctpp1
Gm49791			
Olfr691	259063	Q8VGW5	Olfr691
Clrn2	624224	B2RVW2	Clrn2
Olfr543	257947	E9PWI5	Olfr543
Krtap29-1		A2A5X4	Krtap29-1
Gm6375			
Hkdc1	216019	Q91W97	Hkdc1
Pyy	217212	Q9EPS2	Pyy
Pyy	217212	H3BK86	Pyy
Pyy	217212	Q3V334	Pyy
Fam174b	100038347	Q8K064	Fam174b
Zfand4	67492	D3Z3C6	Zfand4
Zfand4	67492	A0A1Y7VIN5	Zfand4
Zfand4	67492	K3W4R9	Zfand4
Zfand4	67492	A0A1Y7VIN9	Zfand4
Zfand4	67492	A0A1Y7VLJ0	Zfand4
Zfand4	67492	A0A1Y7VMG5	Zfand4
Zfand4	67492	A0A1Y7VJ66	Zfand4
Nostrin	329416	Q6WKZ7	Nostrin
Pak1	18479	G5E884	Pak1
Pak1	18479	A0A0U1RQ87	Pak1
Pak1	18479	S4R2K7	Pak1
Irs4	16370	Q9Z0Y7	Irs4
Tmem62	96957	Q8BXJ9	Tmem62
Tmem62	96957	D6RH67	Tmem62
Tmem62	96957	A2AQ56	Tmem62
Coro2a	107684	Q8C0P5	Coro2a
Coro2a	107684	B1AVH4	Coro2a
Coro2a	107684	B1AVH5	Coro2a
Gm20203			
Olfr779		E9PUS9	Olfr779
Galr3	14429	O88853	Galr3
Nfyc	18046	P70353	Nfyc
Nfyc	18046	A2A763	Nfyc
Nfyc	18046	A2A762	Nfyc
Nfyc	18046	A2A764	Nfyc
Gm50118			
Gm36974			
5830411N06Rik	244234	B3F5L4	5830411N06Rik
5830411N06Rik	244234	B3F5L5	5830411N06Rik
Gm29165			
Gm49217			
Gm44899			
Gm48528			
Vmn1r-ps2			
Gm15796			
Gm16458			
Gm29556			
Gm11222			
Gm29566			
Obox4-ps11			
Astx1b			
5530400K19Rik			
Gcat	26912	O88986	Gcat
Gm29277			
Gm7074			
Gm15295			
Lrrc10b	278795	G3XA50	Lrrc10b
Gm28106			
C230024C17Rik			
Perp	64058	Q9JK95	Perp
Rps19-ps3			
Krtap16-1	100504183	A2A5X5	Krtap16-1
Gm19102			
Obox4-ps12			
Vmn1r-ps3			
Gm11668			
Gm37426			
Rps12-ps15			
Gm49066			
Olfr692	258352	Q8VF03	Olfr692
Olfr692	258352	Q7TRN5	Olfr692
Gm5374			
Gm29042			
Gm30674			
Lag3	16768	Q61790	Lag3
Gm37151			
Upf3b	68134	Q3ULL6	Upf3b
Gm14129			
Gm29587			
Gm29089			
Gm28624			
Gm10362			
